"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "XML", "JavaScript JSX", "MS SQL", "comment", "blank", "total"
"e:\coursework\ecosort-frontend\src\pages\AllArticlesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"e:\coursework\ecosort-frontend\src\pages\AllDiscointPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 2, 7, 48
"e:\coursework\ecosort-frontend\src\pages\ArticlePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 187, 0, 23, 37, 247
"e:\coursework\ecosort-frontend\src\pages\ChangePassPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 8, 17, 124
"e:\coursework\ecosort-frontend\src\pages\ChangeUsername.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 10, 17, 120
"e:\coursework\ecosort-frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 7, 14, 113
"e:\coursework\ecosort-frontend\src\pages\MainPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 37, 8, 79
"e:\coursework\ecosort-frontend\src\pages\MarksPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 2, 7, 45
"e:\coursework\ecosort-frontend\src\pages\MyDiscountPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 3, 8, 82
"e:\coursework\ecosort-frontend\src\pages\PointPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 1, 9, 56
"e:\coursework\ecosort-frontend\src\pages\PointsMarksPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 11, 9, 66
"e:\coursework\ecosort-frontend\src\pages\ReceptionPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 69, 20, 178
"e:\coursework\ecosort-frontend\src\pages\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 17, 16, 121
"e:\coursework\ecosort-frontend\src\pages\UpArticlesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 14, 22, 177
"e:\coursework\ecosort-frontend\src\pages\UpdateDiscountPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 9, 19, 125
"e:\coursework\ecosort-frontend\src\pages\UpdateMarkPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 11, 24, 177
"e:\coursework\ecosort-frontend\src\pages\UpdatePointPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 1, 11, 89
"e:\coursework\ecosort-frontend\src\pages\UpdateSecretKeyPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 10, 77
"e:\coursework\ecosort-frontend\src\redux\features\alldiscount\alldiscountSlice.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 0, 6, 16, 199
"e:\coursework\ecosort-frontend\src\redux\features\articles\articleSlice.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 0, 5, 14, 176
"e:\coursework\ecosort-frontend\src\redux\features\auth\authSlice.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 3, 11, 127
"e:\coursework\ecosort-frontend\src\redux\features\comment\commentSlice.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 3, 10, 110
